1, 2, 4, 5, 6, 7, 6, 5, 4, 6, 2, 2, 2, 0, 3, 4
2, 1, 2, 4, 4, 5, 5, 6, 1, 6, 4, 0, 5, 2, 1, 9
3, 0, 1, 3, 2, 3, 7, 7, 4, 1, 6, 0, 2, 2, 2, 9
4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 6, 7, 0, 4, 2, 0, 1, 6, 0, 3, 3, 2, 4, 0, 7
6, 0, 5, 5, 6, 2, 7, 5, 1, 2, 6, 5, 3, 4, 3, 4
7, 5, 3, 3, 3, 1, 2, 2, 4, 7, 3, 1, 4, 3, 5, 8
8, 7, 2, 7, 4, 5, 3, 7, 2, 6, 4, 3, 4, 2, 3, 4
9, 1, 5, 7, 2, 7, 7, 2, 6, 6, 7, 4, 3, 2, 1, 0
10, 7, 6, 6, 7, 2, 2, 7, 1, 0, 2, 3, 3, 1, 4, 6
11, 1, 4, 0, 5, 4, 0, 2, 7, 1, 2, 5, 1, 2, 0, 5
12, 4, 5, 0, 5, 7, 5, 7, 7, 6, 5, 3, 4, 2, 3, 7
13, 6, 7, 6, 1, 6, 0, 7, 6, 6, 4, 3, 5, 0, 1, 5
14, 2, 6, 1, 0, 5, 2, 3, 4, 4, 6, 0, 4, 0, 3, 3
15, 7, 1, 3, 2, 4, 3, 1, 7, 3, 6, 4, 1, 3, 0, 7
16, 6, 1, 0, 0, 6, 6, 6, 3, 5, 2, 0, 2, 1, 0, 3
17, 7, 0, 5, 0, 3, 1, 7, 6, 5, 6, 1, 3, 5, 4, 2
18, 7, 1, 7, 3, 7, 5, 1, 3, 0, 4, 0, 2, 0, 1, 3
19, 3, 6, 6, 7, 3, 4, 6, 5, 3, 5, 5, 2, 2, 1, 10
20, 3, 5, 5, 3, 1, 6, 0, 7, 2, 0, 4, 3, 4, 2, 8
21, 4, 4, 1, 1, 3, 0, 0, 2, 4, 2, 3, 4, 0, 4, 0
22, 6, 0, 3, 3, 1, 1, 6, 3, 2, 1, 4, 3, 1, 1, 9
23, 6, 3, 3, 1, 7, 2, 7, 2, 0, 5, 2, 0, 4, 0, 10
24, 7, 7, 1, 2, 0, 5, 1, 6, 1, 1, 3, 5, 3, 5, 1
25, 1, 2, 3, 7, 3, 6, 5, 5, 5, 1, 2, 2, 2, 5, 10
26, 5, 5, 4, 3, 0, 3, 2, 7, 7, 1, 0, 1, 2, 5, 7
27, 0, 4, 0, 6, 2, 7, 4, 7, 1, 1, 1, 4, 2, 4, 2
